xflr5 v6.39

Plane name :, NACA 5-12-20
Polar name :, T1-442.0 m/s-VLM1-proj_area
Freestream speed :, 442.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -2.000,     0.000,  -0.087233,   0.000201,   0.007102,   0.007303,   0.000000,  -0.000000,   0.014698,  -0.000000,  -0.000000,  442.0000,    0.0175
   -1.500,     0.000,  -0.041647,   0.000046,   0.007051,   0.007097,   0.000000,  -0.000000,  -0.001602,   0.000000,  -0.000000,  442.0000,   -0.0038
   -1.000,     0.000,   0.003947,   0.000001,   0.007038,   0.007039,   0.000000,  -0.000000,  -0.017918,   0.000000,  -0.000000,  442.0000,    0.4686
   -0.500,     0.000,   0.049542,   0.000067,   0.007049,   0.007115,   0.000000,  -0.000000,  -0.034246,  -0.000000,  -0.000000,  442.0000,    0.0714
    0.000,     0.000,   0.095132,   0.000243,   0.006983,   0.007225,   0.000000,   0.000000,  -0.050578,  -0.000000,  -0.000000,  442.0000,    0.0550
    0.500,     0.000,   0.140712,   0.000529,   0.006764,   0.007293,   0.000000,   0.000000,  -0.066913,   0.000000,  -0.000000,  442.0000,    0.0492
    1.000,     0.000,   0.186273,   0.000925,   0.006512,   0.007437,   0.000000,   0.000000,  -0.083244,  -0.000000,   0.000000,  442.0000,    0.0462
    1.500,     0.000,   0.231811,   0.001431,   0.006459,   0.007890,   0.000000,   0.000000,  -0.099566,   0.000000,  -0.000000,  442.0000,    0.0444
    2.000,     0.000,   0.277319,   0.002046,   0.006509,   0.008555,   0.000000,   0.000000,  -0.115873,   0.000000,  -0.000000,  442.0000,    0.0432
    2.500,     0.000,   0.322790,   0.002771,   0.006601,   0.009372,   0.000000,   0.000000,  -0.132160,   0.000000,   0.000000,  442.0000,    0.0423
    3.000,     0.000,   0.368218,   0.003604,   0.006710,   0.010315,   0.000000,   0.000000,  -0.148421,   0.000000,   0.000000,  442.0000,    0.0417
    3.500,     0.000,   0.413597,   0.004546,   0.006823,   0.011369,   0.000000,   0.000000,  -0.164653,   0.000000,  -0.000000,  442.0000,    0.0412
    4.000,     0.000,   0.458920,   0.005594,   0.006937,   0.012531,   0.000000,   0.000000,  -0.180849,   0.000000,   0.000000,  442.0000,    0.0408
    4.500,     0.000,   0.504181,   0.006750,   0.007053,   0.013803,   0.000000,   0.000000,  -0.197006,   0.000000,   0.000000,  442.0000,    0.0405
    5.000,     0.000,   0.549375,   0.008011,   0.007176,   0.015186,   0.000000,   0.000000,  -0.213118,   0.000000,  -0.000000,  442.0000,    0.0402
    5.500,     0.000,   0.594494,   0.009377,   0.007306,   0.016682,   0.000000,   0.000000,  -0.229180,  -0.000000,   0.000000,  442.0000,    0.0400
    6.000,     0.000,   0.639533,   0.010847,   0.007437,   0.018284,   0.000000,   0.000000,  -0.245187,   0.000000,  -0.000000,  442.0000,    0.0398
    6.500,     0.000,   0.684486,   0.012419,   0.007591,   0.020010,   0.000000,   0.000000,  -0.261134,   0.000000,   0.000000,  442.0000,    0.0396
    7.000,     0.000,   0.729345,   0.014094,   0.007744,   0.021838,   0.000000,   0.000000,  -0.277016,  -0.000000,  -0.000000,  442.0000,    0.0395
    7.500,     0.000,   0.774106,   0.015868,   0.007915,   0.023783,   0.000000,   0.000000,  -0.292828,   0.000000,   0.000000,  442.0000,    0.0393
    8.000,     0.000,   0.818763,   0.017742,   0.008113,   0.025856,   0.000000,   0.000000,  -0.308564,  -0.000000,  -0.000000,  442.0000,    0.0392
    8.500,     0.000,   0.863308,   0.019714,   0.008317,   0.028031,   0.000000,   0.000000,  -0.324221,   0.000000,   0.000000,  442.0000,    0.0391
    9.000,     0.000,   0.907736,   0.021782,   0.008556,   0.030338,   0.000000,   0.000000,  -0.339792,   0.000000,  -0.000000,  442.0000,    0.0390
    9.500,     0.000,   0.952042,   0.023945,   0.008839,   0.032784,   0.000000,   0.000000,  -0.355271,  -0.000000,  -0.000000,  442.0000,    0.0390
   10.000,     0.000,   0.996219,   0.026201,   0.009173,   0.035374,   0.000000,   0.000000,  -0.370653,   0.000000,   0.000000,  442.0000,    0.0389
   10.500,     0.000,   1.040262,   0.028549,   0.009617,   0.038166,   0.000000,   0.000000,  -0.385929,  -0.000000,  -0.000000,  442.0000,    0.0389
   11.000,     0.000,   1.084165,   0.030986,   0.010111,   0.041097,   0.000000,   0.000000,  -0.401096,   0.000000,   0.000000,  442.0000,    0.0388
   11.500,     0.000,   1.127921,   0.033512,   0.010599,   0.044111,   0.000000,   0.000000,  -0.416155,   0.000000,   0.000000,  442.0000,    0.0388
   12.000,     0.000,   1.171526,   0.036123,   0.011100,   0.047224,   0.000000,   0.000000,  -0.431099,   0.000000,   0.000000,  442.0000,    0.0387
   12.500,     0.000,   1.214974,   0.038819,   0.011621,   0.050440,   0.000000,   0.000000,  -0.445923,  -0.000000,  -0.000000,  442.0000,    0.0387
   13.000,     0.000,   1.258259,   0.041596,   0.012171,   0.053768,   0.000000,   0.000000,  -0.460621,  -0.000000,  -0.000000,  442.0000,    0.0387
   13.500,     0.000,   1.301375,   0.044454,   0.012816,   0.057270,   0.000000,   0.000000,  -0.475183,  -0.000000,  -0.000000,  442.0000,    0.0386
   14.000,     0.000,   1.344318,   0.047390,   0.013499,   0.060889,   0.000000,   0.000000,  -0.489609,   0.000000,   0.000000,  442.0000,    0.0386


